# name                          | fixture       | args
#
# `help` is deliberately absent: it renders the comments of the Makefile, so it
# would break on every edit to a dev target rather than on a change of behaviour.
host-print-project              | host-project  | print-COMPOSE_PROJECT_NAME STACK=host/consul
cat-group-testing-up            | app-nogit     | up STACK=testing
cat-group-default-up            | app-nogit     | up STACK=default
cat-drone-version               | app-nogit     | print-COMPOSE_FILE STACK=drone/drone:1.6
cat-drone-env-vars              | app-nogit     | print-ENV_VARS STACK=drone/drone
cat-nginx-www                   | app-nogit     | print-COMPOSE_FILE STACK=host/nginx COMPOSE_FILE_WWW=true
cat-nginx-www-dns               | app-nogit     | print-COMPOSE_FILE STACK=host/nginx COMPOSE_FILE_WWW=true COMPOSE_FILE_DNS=true
cat-nginx-project               | app-nogit     | print-COMPOSE_PROJECT_NAME STACK=host/nginx
cat-unknown-stack               | app-nogit     | print-COMPOSE_FILE STACK=doesnotexist
cat-unknown-target              | app-nogit     | doesnotexist
cmd-exec-host                   | host-project  | exec host/consul -- consul members
cmd-exec-service                | host-project  | exec host/fabio SERVICE=fabio -- sh
cmd-run-catalogue               | app-nogit     | run postgres -- psql -l
cmd-scale                       | app-nogit     | scale postgres SERVICE=postgres NUM=3
chain-build-up-logs             | host-project  | build up logs host/fabio
chain-up-group                  | host-project  | up ps host
chain-print-two                 | host-project  | print-COMPOSE_PROJECT_NAME print-APP STACK=host/consul
mk-ssh-no-hosts                 | app-nogit     | ssh
mk-ssh-with-hosts               | app-nogit     | ssh SSH_HOSTS=example.test ARGS=id
cmd-recreate                    | host-project  | recreate host/consul
cmd-status                      | host-project  | status host/consul
# --- targets of the scope that had no case (phase 2 of the rewrite)
host-build                      | host-project  | build STACK=host/fabio
host-restart                    | host-project  | restart STACK=host/consul
host-attach                     | host-project  | attach STACK=host/consul SERVICE=consul
host-connect                    | host-project  | connect STACK=host/consul
host-bootstrap                  | host-project  | bootstrap STACK=host/consul
host-install                    | host-project  | install STACK=host/consul
host-clean                      | host-project  | clean STACK=host/consul FORCE=true
host-setup-ufw                  | host-project  | setup-ufw SETUP_UFW=true
host-up-ufw                     | host-project  | up STACK=host SETUP_UFW=true HOST_FABIO_UFW_UPDATE=443/tcp
host-shutdown                   | host-project  | shutdown
host-stack-host-up              | host-project  | stack-host-up
host-apps-install               | host-project  | apps-install
nogit-stack-postgres-up         | app-nogit     | stack-postgres-up
demo-docker-build               | demo-project  | docker-build-web
demo-docker-build-nested        | demo-project  | docker-build-web:alpine
demo-build-all                  | demo-project  | docker-build
demo-print-images               | demo-project  | print-DOCKER_IMAGES
demo-env-update                 | demo-project  | .env-update STACK=demo @then cat .env
demo-up-renders-env             | demo-project  | up STACK=demo @then cat .env
demo-up-twice-idempotent        | demo-project  | up STACK=demo @then 'make -esC $MYOS_ROOT MYOS=. WORKDIR=$PWD up STACK=demo >/dev/null 2>&1; cat .env'
demo-print-tags                 | demo-project  | print-DEMO_SERVICE_80_TAGS STACK=demo
demo-print-env-vars             | demo-project  | print-ENV_VARS STACK=demo
demo-up-group-nested            | demo-project  | up STACK=everything
demo-config                     | demo-project  | config STACK=demo
# --- cases showing a bug of the make engine (phase 3): recorded red, fixed, re-recorded green
demo-print-jwt                  | demo-project  | print-DEMO_JWT STACK=demo
demo-print-tags-options         | demo-project  | print-DEMO_SERVICE_80_TAGS STACK=demo DEMO_SERVICE_80_PREPEND=/demo DEMO_SERVICE_80_STRIP=/demo DEMO_SERVICE_80_PROTO=https
host-deploy                     | host-project  | deploy@master
catalogue-host-up-letsencrypt   | catalogue     | up STACK=host/consul SETUP_LETSENCRYPT=true
catalogue-host-up               | catalogue     | up STACK=host/consul
